frase,emocion
Estoy muy feliz,positivo
Me encanta este día,positivo
Todo va bien,positivo
Estoy contento,positivo
Qué maravilloso es esto,positivo
Estoy agradecido,positivo
Hoy es un gran día,positivo
Me siento afortunado,positivo
Todo salió perfecto,positivo
Estoy emocionado,positivo
Me siento pleno,positivo
Estoy entusiasmado,positivo
Qué alegría siento,positivo
Estoy en paz,positivo
Estoy muy motivado,positivo
Me encanta mi vida,positivo
Estoy satisfecho,positivo
Estoy sonriendo,positivo
Estoy relajado,positivo
Hoy me siento feliz,positivo
Estoy optimista,positivo
Qué buen momento,positivo
Estoy lleno de energía,positivo
Estoy disfrutando,positivo
Todo está bien,positivo
Estoy muy triste,negativo
Odio este día,negativo
Todo va mal,negativo
Estoy molesto,negativo
Qué horrible es esto,negativo
Estoy decepcionado,negativo
Hoy es un mal día,negativo
Me siento frustrado,negativo
Nada salió bien,negativo
Estoy agotado,negativo
Me siento vacío,negativo
Estoy aburrido,negativo
Qué tristeza,negativo
Estoy enojado,negativo
Estoy desmotivado,negativo
No me gusta mi vida,negativo
Estoy insatisfecho,negativo
Estoy llorando,negativo
Estoy tenso,negativo
Hoy me siento mal,negativo
Estoy pesimista,negativo
Qué mal momento,negativo
No tengo energía,negativo
No estoy disfrutando,negativo
Todo está mal,negativo
